Type,Location,Bedrooms,Bathrooms,Floor,Floors Area,Lot Area,Garage,Garden,Pet Friendly,Reservation Fee,Price
Townhouse,Las Pinas City,2,1,2,52,48,1,no,yes,20000,3650000
Townhouse,Marikina City,3,2,2,90,47,1,yes,yes,30000,4100000
House and Lot,Quezon City,3,2,2,112,85,1,no,no,0,3952000
House and Lot,Marikina City,3,2,2,80,80,1,no,no,20000,4200000
Townhouse,Marikina City,3,3,1,64,54,1,no,yes,0,4270560
Townhouse,Paranaque City,3,2,2,9019,50.11,1,yes,no,0,4650000
Townhouse,Paranaque City,2,2,1,46,54,1,yes,yes,20000,3400000
House and Lot,Caloocan City,3,2,2,79,74.25,1,no,no,0,4400008
House and Lot,Las Pinas City,3,1,2,93,63,1,no,no,0,4000000
House and Lot,Quezon City,3,2,2,87,52,1,yes,yes,30000,4200000
Townhouse,Las Pinas City,3,2,2,72,72,1,yes,yes,30000,4300000
Townhouse,Caloocan City,3,2,2,65,60,1,yes,yes,50000,3200000
House and Lot,Quezon City,3,2,2,88,56,1,yes,yes,30000,3880000
Townhouse,Las Pinas City,2,2,1,43,64,1,yes,yes,20000,4500000
House and Lot,Marikina City,4,2,3,105,66,2,yes,yes,50000,4900000
Townhouse,Marikina City,3,2,2,90,47,1,yes,yes,30000,4100000
Townhouse,Muntinlupa City,3,2,2,56,47,1,yes,yes,30000,4600000
House and Lot,Quezon City,3,2,2,70,70,1,yes,yes,50000,5000000
Townhouse,Caloocan City,3,2,3,65,60,1,no,yes,50000,3200000
House and Lot,Quezon City,3,2,2,82,40,1,no,yes,30000,4380000
House and Lot,Quezon City,3,2,2,76,74,1,yes,yes,0,4681600
House and Lot,Las Pinas City,3,2,3,78,24,1,yes,yes,20000,5000000
House and Lot,Pasig City,2,1,2,48,51,1,no,no,0,4090000
House and Lot,Las Pinas City,5,4,3,152.44,90,2,no,no,0,5000000
Townhouse,Quezon City,3,2,2,59,55,1,yes,yes,0,3450000
Townhouse,Taguig City,3,2,3,50,150,1,no,yes,0,4590000
House and Lot,Las Pinas City,3,3,1,73,53,1,no,no,0,4850000
House and Lot,Quezon City,2,1,2,37,37,1,no,no,0,4500000
House and Lot,Quezon City,3,2,2,113,88,2,yes,yes,30000,4980000
House and Lot,Quezon City,3,3,2,77,60,2,no,yes,30000,4780000
House and Lot,Quezon City,3,3,2,79,69,2,no,yes,0,4280000
House and Lot,Las Pinas City,3,1,2,65,45,1,no,yes,0,3800000
Townhouse,Paranaque City,2,2,2,42,36,1,yes,yes,0,3450000
Townhouse,Manila City,3,2,1,90,25,1,no,no,0,5000000
House and Lot,Caloocan City,3,2,2,61,52,1,yes,yes,20000,3200000
Townhouse,Marikina City,3,2,1,88,49,1,no,no,30000,4300000
